int	string	int	int[]	int	DTItemNum[]	int	DTBuildingReq[]	int	bool	int[]	string	string	int
13005	训练室	13	0	5	9004:10;2:100	10	13:4	1006	0	1300501;1300502	训练室作用	训练室效果	2213
13006	训练室	13	0	6	9004:10;2:100	10	13:5	1006	0	1300601;1300602	训练室作用	训练室效果	2213
13007	训练室	13	0	7	9004:10;2:100	20	13:6	1006	0	1300701;1300702	训练室作用	训练室效果	2213
13008	训练室	13	0	8	9004:10;2:100	20	13:7	1006	0	1300801;1300802	训练室作用	训练室效果	2213
13009	训练室	13	0	9	9004:10;2:100	20	13:8	1006	0	1300901;1300902	训练室作用	训练室效果	2213
13010	训练室	13	0	10	9004:10;2:100	40	13:9	1006	0	1301001;1301002	训练室作用	训练室效果	2213
13011	训练室	13	0	11	9004:10;2:100	40	13:10	1006	0	1301101;1301102	训练室作用	训练室效果	2213
13012	训练室	13	0	12	9004:10;2:100	40	13:11	1006	0	1301201;1301202	训练室作用	训练室效果	2213
13013	训练室	13	0	13	9004:10;2:100	60	13:12	1006	0	1301301;1301302	训练室作用	训练室效果	2213
13014	训练室	13	0	14	9004:10;2:100	60	13:13	1006	0	1301401;1301402	训练室作用	训练室效果	2213
13015	训练室	13	0	15	9004:10;2:100	60	13:14	1006	0	1301501;1301502	训练室作用	训练室效果	2213
13016	训练室	13	0	16	9004:10;2:100	80	13:15	1006	0	1301601;1301602	训练室作用	训练室效果	2213
13017	训练室	13	0	17	9004:10;2:100	80	13:16	1006	0	1301701;1301702	训练室作用	训练室效果	2213
13018	训练室	13	0	18	9004:10;2:100	80	13:17	1006	0	1301801;1301802	训练室作用	训练室效果	2213
13019	训练室	13	0	19	9004:10;2:100	100	13:18	1006	0	1301901;1301902	训练室作用	训练室效果	2213
13020	训练室	13	0	20	9004:10;2:100	100	13:19	1006	0	1302001;1302002	训练室作用	训练室效果	2213
14001	全国商务部	14	0	1	9002:10;2:100	1	14:0;8:1	1003	1	1400101	全国商务部作用	全国商务部效果	2214
14002	全国商务部	14	0	2	9002:10;2:100	1	14:1	1003	0	1400201	全国商务部作用	全国商务部效果	2214
14003	全国商务部	14	0	3	9002:10;2:100	1	14:2	1003	0	1400301	全国商务部作用	全国商务部效果	2214
14004	全国商务部	14	0	4	9002:10;2:100	10	14:3	1003	0	1400401	全国商务部作用	全国商务部效果	2214
14005	全国商务部	14	0	5	9002:10;2:100	10	14:4	1003	0	1400501	全国商务部作用	全国商务部效果	2214
14006	全国商务部	14	0	6	9002:10;2:100	10	14:5	1003	0	1400601	全国商务部作用	全国商务部效果	2214
14007	全国商务部	14	0	7	9002:10;2:100	20	14:6	1003	0	1400701	全国商务部作用	全国商务部效果	2214
14008	全国商务部	14	0	8	9002:10;2:100	20	14:7	1003	0	1400801	全国商务部作用	全国商务部效果	2214
14009	全国商务部	14	0	9	9002:10;2:100	20	14:8	1003	0	1400901	全国商务部作用	全国商务部效果	2214
14010	全国商务部	14	0	10	9002:10;2:100	40	14:9	1003	0	1401001	全国商务部作用	全国商务部效果	2214
14011	全国商务部	14	0	11	9002:10;2:100	40	14:10	1003	0	1401101	全国商务部作用	全国商务部效果	2214
14012	全国商务部	14	0	12	9002:10;2:100	40	14:11	1003	0	1401201	全国商务部作用	全国商务部效果	2214
14013	全国商务部	14	0	13	9002:10;2:100	60	14:12	1003	0	1401301	全国商务部作用	全国商务部效果	2214
14014	全国商务部	14	0	14	9002:10;2:100	60	14:13	1003	0	1401401	全国商务部作用	全国商务部效果	2214
14015	全国商务部	14	0	15	9002:10;2:100	60	14:14	1003	0	1401501	全国商务部作用	全国商务部效果	2214
14016	全国商务部	14	0	16	9002:10;2:100	80	14:15	1003	0	1401601	全国商务部作用	全国商务部效果	2214
14017	全国商务部	14	0	17	9002:10;2:100	80	14:16	1003	0	1401701	全国商务部作用	全国商务部效果	2214
14018	全国商务部	14	0	18	9002:10;2:100	80	14:17	1003	0	1401801	全国商务部作用	全国商务部效果	2214
14019	全国商务部	14	0	19	9002:10;2:100	100	14:18	1003	0	1401901	全国商务部作用	全国商务部效果	2214
14020	全国商务部	14	0	20	9002:10;2:100	100	14:19	1003	0	1402001	全国商务部作用	全国商务部效果	2214
15001	环球商务部	15	0	1	9002:10;2:100	1	15:0;14:1	1007	1	1500101	环球商务部作用	环球商务部效果	2215
15002	环球商务部	15	0	2	9002:10;2:100	1	15:1	1007	0	1500201	环球商务部作用	环球商务部效果	2215
15003	环球商务部	15	0	3	9002:10;2:100	1	15:2	1007	0	1500301	环球商务部作用	环球商务部效果	2215
15004	环球商务部	15	0	4	9002:10;2:100	10	15:3	1007	0	1500401	环球商务部作用	环球商务部效果	2215
15005	环球商务部	15	0	5	9002:10;2:100	10	15:4	1007	0	1500501	环球商务部作用	环球商务部效果	2215
15006	环球商务部	15	0	6	9002:10;2:100	10	15:5	1007	0	1500601	环球商务部作用	环球商务部效果	2215
15007	环球商务部	15	0	7	9002:10;2:100	20	15:6	1007	0	1500701	环球商务部作用	环球商务部效果	2215
15008	环球商务部	15	0	8	9002:10;2:100	20	15:7	1007	0	1500801	环球商务部作用	环球商务部效果	2215
15009	环球商务部	15	0	9	9002:10;2:100	20	15:8	1007	0	1500901	环球商务部作用	环球商务部效果	2215
15010	环球商务部	15	0	10	9002:10;2:100	40	15:9	1007	0	1501001	环球商务部作用	环球商务部效果	2215
15011	环球商务部	15	0	11	9002:10;2:100	40	15:10	1007	0	1501101	环球商务部作用	环球商务部效果	2215
15012	环球商务部	15	0	12	9002:10;2:100	40	15:11	1007	0	1501201	环球商务部作用	环球商务部效果	2215
15013	环球商务部	15	0	13	9002:10;2:100	60	15:12	1007	0	1501301	环球商务部作用	环球商务部效果	2215
15014	环球商务部	15	0	14	9002:10;2:100	60	15:13	1007	0	1501401	环球商务部作用	环球商务部效果	2215
15015	环球商务部	15	0	15	9002:10;2:100	60	15:14	1007	0	1501501	环球商务部作用	环球商务部效果	2215
15016	环球商务部	15	0	16	9002:10;2:100	80	15:15	1007	0	1501601	环球商务部作用	环球商务部效果	2215
15017	环球商务部	15	0	17	9002:10;2:100	80	15:16	1007	0	1501701	环球商务部作用	环球商务部效果	2215
15018	环球商务部	15	0	18	9002:10;2:100	80	15:17	1007	0	1501801	环球商务部作用	环球商务部效果	2215
15019	环球商务部	15	0	19	9002:10;2:100	100	15:18	1007	0	1501901	环球商务部作用	环球商务部效果	2215
15020	环球商务部	15	0	20	9002:10;2:100	100	15:19	1007	0	1502001	环球商务部作用	环球商务部效果	2215
