int	int	int	string	DTItemNum[]	int[]	DTRandomInterval[]	string	int	string
100903804	38	4	培养4	2:139200;5004:150	1601;1602;1605	4:14;4:14;4:14	拍电影	1001	
100903901	39	1	培养1	2:142825;5004:150	1601;1602;1603	4:14;4:14;7:27	拍电影	1001	
100903902	39	2	培养2	2:142825;5004:150	1602;1603;1605	4:14;7:27;4:14	拍电影	1001	
100903903	39	3	培养3	2:142825;5004:150	1601;1603;1605	4:14;7:27;4:14	拍电影	1001	
100903904	39	4	培养4	2:142825;5004:150	1601;1602;1605	4:14;4:14;4:14	拍电影	1001	
100904001	40	1	培养1	2:146450;5004:150	1601;1602;1603	4:14;4:14;7:27	拍电影	1001	
100904002	40	2	培养2	2:146450;5004:150	1602;1603;1605	4:14;7:27;4:14	拍电影	1001	
100904003	40	3	培养3	2:146450;5004:150	1601;1603;1605	4:14;7:27;4:14	拍电影	1001	
100904004	40	4	培养4	2:146450;5004:150	1601;1602;1605	4:14;4:14;4:14	拍电影	1001	
100904101	41	1	培养1	2:150075;5004:180	1601;1602;1603	4:15;4:15;8:31	拍电影	1001	
100904102	41	2	培养2	2:150075;5004:180	1602;1603;1605	4:15;8:31;4:15	拍电影	1001	
100904103	41	3	培养3	2:150075;5004:180	1601;1603;1605	4:15;8:31;4:15	拍电影	1001	
100904104	41	4	培养4	2:150075;5004:180	1601;1602;1605	4:15;4:15;4:15	拍电影	1001	
100904201	42	1	培养1	2:153845;5004:180	1601;1602;1603	4:15;4:15;8:31	拍电影	1001	
100904202	42	2	培养2	2:153845;5004:180	1602;1603;1605	4:15;8:31;4:15	拍电影	1001	
100904203	42	3	培养3	2:153845;5004:180	1601;1603;1605	4:15;8:31;4:15	拍电影	1001	
100904204	42	4	培养4	2:153845;5004:180	1601;1602;1605	4:15;4:15;4:15	拍电影	1001	
100904301	43	1	培养1	2:157470;5004:180	1601;1602;1603	4:15;4:15;8:31	拍电影	1001	
100904302	43	2	培养2	2:157470;5004:180	1602;1603;1605	4:15;8:31;4:15	拍电影	1001	
100904303	43	3	培养3	2:157470;5004:180	1601;1603;1605	4:15;8:31;4:15	拍电影	1001	
100904304	43	4	培养4	2:157470;5004:180	1601;1602;1605	4:15;4:15;4:15	拍电影	1001	
100904401	44	1	培养1	2:161095;5004:180	1601;1602;1603	4:15;4:15;8:31	拍电影	1001	
100904402	44	2	培养2	2:161095;5004:180	1602;1603;1605	4:15;8:31;4:15	拍电影	1001	
100904403	44	3	培养3	2:161095;5004:180	1601;1603;1605	4:15;8:31;4:15	拍电影	1001	
100904404	44	4	培养4	2:161095;5004:180	1601;1602;1605	4:15;4:15;4:15	拍电影	1001	
100904501	45	1	培养1	2:164720;5004:180	1601;1602;1603	4:15;4:15;8:30	拍电影	1001	
100904502	45	2	培养2	2:164720;5004:180	1602;1603;1605	4:15;8:30;4:15	拍电影	1001	
100904503	45	3	培养3	2:164720;5004:180	1601;1603;1605	4:15;8:30;4:15	拍电影	1001	
100904504	45	4	培养4	2:164720;5004:180	1601;1602;1605	4:15;4:15;4:15	拍电影	1001	
100904601	46	1	培养1	2:168490;5004:210	1601;1602;1603	5:17;5:17;9:34	拍电影	1001	
100904602	46	2	培养2	2:168490;5004:210	1602;1603;1605	5:17;9:34;5:17	拍电影	1001	
100904603	46	3	培养3	2:168490;5004:210	1601;1603;1605	5:17;9:34;5:17	拍电影	1001	
100904604	46	4	培养4	2:168490;5004:210	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100904701	47	1	培养1	2:172115;5004:210	1601;1602;1603	5:17;5:17;9:34	拍电影	1001	
100904702	47	2	培养2	2:172115;5004:210	1602;1603;1605	5:17;9:34;5:17	拍电影	1001	
100904703	47	3	培养3	2:172115;5004:210	1601;1603;1605	5:17;9:34;5:17	拍电影	1001	
100904704	47	4	培养4	2:172115;5004:210	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100904801	48	1	培养1	2:175740;5004:210	1601;1602;1603	5:17;5:17;9:34	拍电影	1001	
100904802	48	2	培养2	2:175740;5004:210	1602;1603;1605	5:17;9:34;5:17	拍电影	1001	
100904803	48	3	培养3	2:175740;5004:210	1601;1603;1605	5:17;9:34;5:17	拍电影	1001	
100904804	48	4	培养4	2:175740;5004:210	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100904901	49	1	培养1	2:179365;5004:210	1601;1602;1603	5:17;5:17;9:34	拍电影	1001	
100904902	49	2	培养2	2:179365;5004:210	1602;1603;1605	5:17;9:34;5:17	拍电影	1001	
100904903	49	3	培养3	2:179365;5004:210	1601;1603;1605	5:17;9:34;5:17	拍电影	1001	
100904904	49	4	培养4	2:179365;5004:210	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100905001	50	1	培养1	2:182990;5004:210	1601;1602;1603	5:17;5:17;9:34	拍电影	1001	
100905002	50	2	培养2	2:182990;5004:210	1602;1603;1605	5:17;9:34;5:17	拍电影	1001	
100905003	50	3	培养3	2:182990;5004:210	1601;1603;1605	5:17;9:34;5:17	拍电影	1001	
100905004	50	4	培养4	2:182990;5004:210	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100905101	51	1	培养1	2:186760;5004:245	1601;1602;1603	5:19;5:19;10:37	拍电影	1001	
100905102	51	2	培养2	2:186760;5004:245	1602;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905103	51	3	培养3	2:186760;5004:245	1601;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905104	51	4	培养4	2:186760;5004:245	1601;1602;1605	5:19;5:19;5:19	拍电影	1001	
100905201	52	1	培养1	2:190385;5004:245	1601;1602;1603	5:19;5:19;10:37	拍电影	1001	
100905202	52	2	培养2	2:190385;5004:245	1602;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905203	52	3	培养3	2:190385;5004:245	1601;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905204	52	4	培养4	2:190385;5004:245	1601;1602;1605	5:19;5:19;5:19	拍电影	1001	
100905301	53	1	培养1	2:194010;5004:245	1601;1602;1603	5:19;5:19;10:37	拍电影	1001	
100905302	53	2	培养2	2:194010;5004:245	1602;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905303	53	3	培养3	2:194010;5004:245	1601;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905304	53	4	培养4	2:194010;5004:245	1601;1602;1605	5:19;5:19;5:19	拍电影	1001	
100905401	54	1	培养1	2:197635;5004:245	1601;1602;1603	5:19;5:19;10:37	拍电影	1001	
100905402	54	2	培养2	2:197635;5004:245	1602;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905403	54	3	培养3	2:197635;5004:245	1601;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905404	54	4	培养4	2:197635;5004:245	1601;1602;1605	5:19;5:19;5:19	拍电影	1001	
100905501	55	1	培养1	2:201405;5004:245	1601;1602;1603	5:19;5:19;10:37	拍电影	1001	
100905502	55	2	培养2	2:201405;5004:245	1602;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905503	55	3	培养3	2:201405;5004:245	1601;1603;1605	5:19;10:37;5:19	拍电影	1001	
100905504	55	4	培养4	2:201405;5004:245	1601;1602;1605	5:19;5:19;5:19	拍电影	1001	
100905601	56	1	培养1	2:205030;5004:280	1601;1602;1603	5:20;5:20;11:41	拍电影	1001	
100905602	56	2	培养2	2:205030;5004:280	1602;1603;1605	5:20;11:41;5:20	拍电影	1001	
100905603	56	3	培养3	2:205030;5004:280	1601;1603;1605	5:20;11:41;5:20	拍电影	1001	
100905604	56	4	培养4	2:205030;5004:280	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100905701	57	1	培养1	2:208655;5004:280	1601;1602;1603	5:20;5:20;11:41	拍电影	1001	
100905702	57	2	培养2	2:208655;5004:280	1602;1603;1605	5:20;11:41;5:20	拍电影	1001	
100905703	57	3	培养3	2:208655;5004:280	1601;1603;1605	5:20;11:41;5:20	拍电影	1001	
100905704	57	4	培养4	2:208655;5004:280	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100905801	58	1	培养1	2:212280;5004:280	1601;1602;1603	5:20;5:20;11:41	拍电影	1001	
100905802	58	2	培养2	2:212280;5004:280	1602;1603;1605	5:20;11:41;5:20	拍电影	1001	
100905803	58	3	培养3	2:212280;5004:280	1601;1603;1605	5:20;11:41;5:20	拍电影	1001	
100905804	58	4	培养4	2:212280;5004:280	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100905901	59	1	培养1	2:216050;5004:280	1601;1602;1603	5:20;5:20;10:40	拍电影	1001	
100905902	59	2	培养2	2:216050;5004:280	1602;1603;1605	5:20;10:40;5:20	拍电影	1001	
100905903	59	3	培养3	2:216050;5004:280	1601;1603;1605	5:20;10:40;5:20	拍电影	1001	
100905904	59	4	培养4	2:216050;5004:280	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100906001	60	1	培养1	2:439350;5004:280	1601;1602;1603	5:20;5:20;10:40	拍电影	1001	
100906002	60	2	培养2	2:439350;5004:280	1602;1603;1605	5:20;10:40;5:20	拍电影	1001	
100906003	60	3	培养3	2:439350;5004:280	1601;1603;1605	5:20;10:40;5:20	拍电影	1001	
100906004	60	4	培养4	2:439350;5004:280	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100906101	61	1	培养1	2:446600;5004:320	1601;1602;1603	6:22;6:22;11:44	拍电影	1001	
100906102	61	2	培养2	2:446600;5004:320	1602;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906103	61	3	培养3	2:446600;5004:320	1601;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906104	61	4	培养4	2:446600;5004:320	1601;1602;1605	6:22;6:22;6:22	拍电影	1001	
100906201	62	1	培养1	2:453850;5004:320	1601;1602;1603	6:22;6:22;11:44	拍电影	1001	
100906202	62	2	培养2	2:453850;5004:320	1602;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906203	62	3	培养3	2:453850;5004:320	1601;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906204	62	4	培养4	2:453850;5004:320	1601;1602;1605	6:22;6:22;6:22	拍电影	1001	
100906301	63	1	培养1	2:461390;5004:320	1601;1602;1603	6:22;6:22;11:44	拍电影	1001	
100906302	63	2	培养2	2:461390;5004:320	1602;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906303	63	3	培养3	2:461390;5004:320	1601;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906304	63	4	培养4	2:461390;5004:320	1601;1602;1605	6:22;6:22;6:22	拍电影	1001	
100906401	64	1	培养1	2:468640;5004:320	1601;1602;1603	6:22;6:22;11:44	拍电影	1001	
100906402	64	2	培养2	2:468640;5004:320	1602;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906403	64	3	培养3	2:468640;5004:320	1601;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906404	64	4	培养4	2:468640;5004:320	1601;1602;1605	6:22;6:22;6:22	拍电影	1001	
100906501	65	1	培养1	2:475890;5004:320	1601;1602;1603	6:22;6:22;11:44	拍电影	1001	
100906502	65	2	培养2	2:475890;5004:320	1602;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906503	65	3	培养3	2:475890;5004:320	1601;1603;1605	6:22;11:44;6:22	拍电影	1001	
100906504	65	4	培养4	2:475890;5004:320	1601;1602;1605	6:22;6:22;6:22	拍电影	1001	
100906601	66	1	培养1	2:483140;5004:360	1601;1602;1603	6:23;6:23;12:47	拍电影	1001	
100906602	66	2	培养2	2:483140;5004:360	1602;1603;1605	6:23;12:47;6:23	拍电影	1001	
100906603	66	3	培养3	2:483140;5004:360	1601;1603;1605	6:23;12:47;6:23	拍电影	1001	
100906604	66	4	培养4	2:483140;5004:360	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100906701	67	1	培养1	2:490680;5004:360	1601;1602;1603	6:23;6:23;12:47	拍电影	1001	
100906702	67	2	培养2	2:490680;5004:360	1602;1603;1605	6:23;12:47;6:23	拍电影	1001	
100906703	67	3	培养3	2:490680;5004:360	1601;1603;1605	6:23;12:47;6:23	拍电影	1001	
100906704	67	4	培养4	2:490680;5004:360	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100906801	68	1	培养1	2:497930;5004:360	1601;1602;1603	6:23;6:23;12:47	拍电影	1001	
100906802	68	2	培养2	2:497930;5004:360	1602;1603;1605	6:23;12:47;6:23	拍电影	1001	
100906803	68	3	培养3	2:497930;5004:360	1601;1603;1605	6:23;12:47;6:23	拍电影	1001	
100906804	68	4	培养4	2:497930;5004:360	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100906901	69	1	培养1	2:505180;5004:360	1601;1602;1603	6:23;6:23;12:47	拍电影	1001	
100906902	69	2	培养2	2:505180;5004:360	1602;1603;1605	6:23;12:47;6:23	拍电影	1001	
100906903	69	3	培养3	2:505180;5004:360	1601;1603;1605	6:23;12:47;6:23	拍电影	1001	
100906904	69	4	培养4	2:505180;5004:360	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100907001	70	1	培养1	2:512430;5004:360	1601;1602;1603	6:23;6:23;12:47	拍电影	1001	
100907002	70	2	培养2	2:512430;5004:360	1602;1603;1605	6:23;12:47;6:23	拍电影	1001	
100907003	70	3	培养3	2:512430;5004:360	1601;1603;1605	6:23;12:47;6:23	拍电影	1001	
100907004	70	4	培养4	2:512430;5004:360	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100907101	71	1	培养1	2:519970;5004:405	1601;1602;1603	7:25;7:25;13:50	拍电影	1001	
100907102	71	2	培养2	2:519970;5004:405	1602;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907103	71	3	培养3	2:519970;5004:405	1601;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907104	71	4	培养4	2:519970;5004:405	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100907201	72	1	培养1	2:527220;5004:405	1601;1602;1603	7:25;7:25;13:50	拍电影	1001	
100907202	72	2	培养2	2:527220;5004:405	1602;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907203	72	3	培养3	2:527220;5004:405	1601;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907204	72	4	培养4	2:527220;5004:405	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100907301	73	1	培养1	2:534470;5004:405	1601;1602;1603	7:25;7:25;13:50	拍电影	1001	
100907302	73	2	培养2	2:534470;5004:405	1602;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907303	73	3	培养3	2:534470;5004:405	1601;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907304	73	4	培养4	2:534470;5004:405	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100907401	74	1	培养1	2:541720;5004:405	1601;1602;1603	7:25;7:25;13:50	拍电影	1001	
100907402	74	2	培养2	2:541720;5004:405	1602;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907403	74	3	培养3	2:541720;5004:405	1601;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907404	74	4	培养4	2:541720;5004:405	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100907501	75	1	培养1	2:548970;5004:405	1601;1602;1603	7:25;7:25;13:50	拍电影	1001	
100907502	75	2	培养2	2:548970;5004:405	1602;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907503	75	3	培养3	2:548970;5004:405	1601;1603;1605	7:25;13:50;7:25	拍电影	1001	
100907504	75	4	培养4	2:548970;5004:405	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100907601	76	1	培养1	2:556510;5004:450	1601;1602;1603	7:27;7:27;14:53	拍电影	1001	
100907602	76	2	培养2	2:556510;5004:450	1602;1603;1605	7:27;14:53;7:27	拍电影	1001	
100907603	76	3	培养3	2:556510;5004:450	1601;1603;1605	7:27;14:53;7:27	拍电影	1001	
100907604	76	4	培养4	2:556510;5004:450	1601;1602;1605	7:27;7:27;7:27	拍电影	1001	
100907701	77	1	培养1	2:563760;5004:450	1601;1602;1603	7:27;7:27;14:53	拍电影	1001	
100907702	77	2	培养2	2:563760;5004:450	1602;1603;1605	7:27;14:53;7:27	拍电影	1001	
100907703	77	3	培养3	2:563760;5004:450	1601;1603;1605	7:27;14:53;7:27	拍电影	1001	
100907704	77	4	培养4	2:563760;5004:450	1601;1602;1605	7:27;7:27;7:27	拍电影	1001	
100907801	78	1	培养1	2:571010;5004:450	1601;1602;1603	7:26;7:26;14:53	拍电影	1001	
100907802	78	2	培养2	2:571010;5004:450	1602;1603;1605	7:26;14:53;7:26	拍电影	1001	
100907803	78	3	培养3	2:571010;5004:450	1601;1603;1605	7:26;14:53;7:26	拍电影	1001	
100907804	78	4	培养4	2:571010;5004:450	1601;1602;1605	7:26;7:26;7:26	拍电影	1001	
100907901	79	1	培养1	2:578260;5004:450	1601;1602;1603	7:26;7:26;14:53	拍电影	1001	
100907902	79	2	培养2	2:578260;5004:450	1602;1603;1605	7:26;14:53;7:26	拍电影	1001	
100907903	79	3	培养3	2:578260;5004:450	1601;1603;1605	7:26;14:53;7:26	拍电影	1001	
100907904	79	4	培养4	2:578260;5004:450	1601;1602;1605	7:26;7:26;7:26	拍电影	1001	
100908001	80	1	培养1	2:878700;5004:450	1601;1602;1603	7:26;7:26;14:53	拍电影	1001	
100908002	80	2	培养2	2:878700;5004:450	1602;1603;1605	7:26;14:53;7:26	拍电影	1001	
100908003	80	3	培养3	2:878700;5004:450	1601;1603;1605	7:26;14:53;7:26	拍电影	1001	
100908004	80	4	培养4	2:878700;5004:450	1601;1602;1605	7:26;7:26;7:26	拍电影	1001	
100908101	81	1	培养1	2:889575;5004:500	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100908102	81	2	培养2	2:889575;5004:500	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908103	81	3	培养3	2:889575;5004:500	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908104	81	4	培养4	2:889575;5004:500	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100908201	82	1	培养1	2:900450;5004:500	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100908202	82	2	培养2	2:900450;5004:500	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908203	82	3	培养3	2:900450;5004:500	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908204	82	4	培养4	2:900450;5004:500	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100908301	83	1	培养1	2:911325;5004:500	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100908302	83	2	培养2	2:911325;5004:500	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908303	83	3	培养3	2:911325;5004:500	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908304	83	4	培养4	2:911325;5004:500	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100908401	84	1	培养1	2:922635;5004:500	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100908402	84	2	培养2	2:922635;5004:500	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908403	84	3	培养3	2:922635;5004:500	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908404	84	4	培养4	2:922635;5004:500	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100908501	85	1	培养1	2:933510;5004:500	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100908502	85	2	培养2	2:933510;5004:500	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908503	85	3	培养3	2:933510;5004:500	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100908504	85	4	培养4	2:933510;5004:500	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100908601	86	1	培养1	2:944385;5004:550	1601;1602;1603	8:29;8:29;15:59	拍电影	1001	
100908602	86	2	培养2	2:944385;5004:550	1602;1603;1605	8:29;15:59;8:29	拍电影	1001	
100908603	86	3	培养3	2:944385;5004:550	1601;1603;1605	8:29;15:59;8:29	拍电影	1001	
100908604	86	4	培养4	2:944385;5004:550	1601;1602;1605	8:29;8:29;8:29	拍电影	1001	
100908701	87	1	培养1	2:955260;5004:550	1601;1602;1603	8:29;8:29;15:59	拍电影	1001	
100908702	87	2	培养2	2:955260;5004:550	1602;1603;1605	8:29;15:59;8:29	拍电影	1001	
100908703	87	3	培养3	2:955260;5004:550	1601;1603;1605	8:29;15:59;8:29	拍电影	1001	
100908704	87	4	培养4	2:955260;5004:550	1601;1602;1605	8:29;8:29;8:29	拍电影	1001	
100908801	88	1	培养1	2:966570;5004:550	1601;1602;1603	8:29;8:29;15:59	拍电影	1001	
100908802	88	2	培养2	2:966570;5004:550	1602;1603;1605	8:29;15:59;8:29	拍电影	1001	
100908803	88	3	培养3	2:966570;5004:550	1601;1603;1605	8:29;15:59;8:29	拍电影	1001	
100908804	88	4	培养4	2:966570;5004:550	1601;1602;1605	8:29;8:29;8:29	拍电影	1001	
100908901	89	1	培养1	2:977445;5004:550	1601;1602;1603	8:29;8:29;15:59	拍电影	1001	
100908902	89	2	培养2	2:977445;5004:550	1602;1603;1605	8:29;15:59;8:29	拍电影	1001	
100908903	89	3	培养3	2:977445;5004:550	1601;1603;1605	8:29;15:59;8:29	拍电影	1001	
100908904	89	4	培养4	2:977445;5004:550	1601;1602;1605	8:29;8:29;8:29	拍电影	1001	
100909001	90	1	培养1	2:988320;5004:550	1601;1602;1603	8:29;8:29;15:59	拍电影	1001	
100909002	90	2	培养2	2:988320;5004:550	1602;1603;1605	8:29;15:59;8:29	拍电影	1001	
100909003	90	3	培养3	2:988320;5004:550	1601;1603;1605	8:29;15:59;8:29	拍电影	1001	
100909004	90	4	培养4	2:988320;5004:550	1601;1602;1605	8:29;8:29;8:29	拍电影	1001	
100909101	91	1	培养1	2:999195;5004:605	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100909102	91	2	培养2	2:999195;5004:605	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909103	91	3	培养3	2:999195;5004:605	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909104	91	4	培养4	2:999195;5004:605	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100909201	92	1	培养1	2:1010505;5004:605	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100909202	92	2	培养2	2:1010505;5004:605	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909203	92	3	培养3	2:1010505;5004:605	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909204	92	4	培养4	2:1010505;5004:605	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100909301	93	1	培养1	2:1021380;5004:605	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100909302	93	2	培养2	2:1021380;5004:605	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909303	93	3	培养3	2:1021380;5004:605	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909304	93	4	培养4	2:1021380;5004:605	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100909401	94	1	培养1	2:1032255;5004:605	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100909402	94	2	培养2	2:1032255;5004:605	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909403	94	3	培养3	2:1032255;5004:605	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909404	94	4	培养4	2:1032255;5004:605	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100909501	95	1	培养1	2:1043130;5004:605	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100909502	95	2	培养2	2:1043130;5004:605	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909503	95	3	培养3	2:1043130;5004:605	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100909504	95	4	培养4	2:1043130;5004:605	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100909601	96	1	培养1	2:1054440;5004:660	1601;1602;1603	8:32;8:32;17:65	拍电影	1001	
100909602	96	2	培养2	2:1054440;5004:660	1602;1603;1605	8:32;17:65;8:32	拍电影	1001	
100909603	96	3	培养3	2:1054440;5004:660	1601;1603;1605	8:32;17:65;8:32	拍电影	1001	
100909604	96	4	培养4	2:1054440;5004:660	1601;1602;1605	8:32;8:32;8:32	拍电影	1001	
100909701	97	1	培养1	2:1065315;5004:660	1601;1602;1603	8:32;8:32;17:65	拍电影	1001	
100909702	97	2	培养2	2:1065315;5004:660	1602;1603;1605	8:32;17:65;8:32	拍电影	1001	
100909703	97	3	培养3	2:1065315;5004:660	1601;1603;1605	8:32;17:65;8:32	拍电影	1001	
100909704	97	4	培养4	2:1065315;5004:660	1601;1602;1605	8:32;8:32;8:32	拍电影	1001	
100909801	98	1	培养1	2:1076190;5004:660	1601;1602;1603	8:32;8:32;17:65	拍电影	1001	
100909802	98	2	培养2	2:1076190;5004:660	1602;1603;1605	8:32;17:65;8:32	拍电影	1001	
100909803	98	3	培养3	2:1076190;5004:660	1601;1603;1605	8:32;17:65;8:32	拍电影	1001	
100909804	98	4	培养4	2:1076190;5004:660	1601;1602;1605	8:32;8:32;8:32	拍电影	1001	
100909901	99	1	培养1	2:1087065;5004:660	1601;1602;1603	8:32;8:32;16:64	拍电影	1001	
100909902	99	2	培养2	2:1087065;5004:660	1602;1603;1605	8:32;16:64;8:32	拍电影	1001	
100909903	99	3	培养3	2:1087065;5004:660	1601;1603;1605	8:32;16:64;8:32	拍电影	1001	
100909904	99	4	培养4	2:1087065;5004:660	1601;1602;1605	8:32;8:32;8:32	拍电影	1001	
100910001	100	1	培养1	2:1463920;5004:660	1601;1602;1603	8:32;8:32;16:64	拍电影	1001	
100910002	100	2	培养2	2:1463920;5004:660	1602;1603;1605	8:32;16:64;8:32	拍电影	1001	
100910003	100	3	培养3	2:1463920;5004:660	1601;1603;1605	8:32;16:64;8:32	拍电影	1001	
100910004	100	4	培养4	2:1463920;5004:660	1601;1602;1605	8:32;8:32;8:32	拍电影	1001	
101000101	1	1	培养1	2:1300;5004:20	1601;1602;1603	1:2;1:1;1:1	拍电影	1001	
101000102	1	2	培养2	2:1300;5004:20	1602;1603;1604	1:1;1:1;1:1	拍电影	1001	
101000103	1	3	培养3	2:1300;5004:20	1601;1603;1604	1:2;1:1;1:1	拍电影	1001	
101000104	1	4	培养4	2:1300;5004:20	1601;1602;1604	1:2;1:1;1:1	拍电影	1001	
101000201	2	1	培养1	2:2550;5004:20	1601;1602;1603	1:2;1:1;1:1	拍电影	1001	
101000202	2	2	培养2	2:2550;5004:20	1602;1603;1604	1:1;1:1;1:1	拍电影	1001	
101000203	2	3	培养3	2:2550;5004:20	1601;1603;1604	1:2;1:1;1:1	拍电影	1001	
101000204	2	4	培养4	2:2550;5004:20	1601;1602;1604	1:2;1:1;1:1	拍电影	1001	
101000301	3	1	培养1	2:3800;5004:20	1601;1602;1603	1:2;1:1;1:1	拍电影	1001	
101000302	3	2	培养2	2:3800;5004:20	1602;1603;1604	1:1;1:1;1:1	拍电影	1001	
101000303	3	3	培养3	2:3800;5004:20	1601;1603;1604	1:2;1:1;1:1	拍电影	1001	
101000304	3	4	培养4	2:3800;5004:20	1601;1602;1604	1:2;1:1;1:1	拍电影	1001	
101000401	4	1	培养1	2:5050;5004:20	1601;1602;1603	1:2;1:1;1:1	拍电影	1001	
101000402	4	2	培养2	2:5050;5004:20	1602;1603;1604	1:1;1:1;1:1	拍电影	1001	
101000403	4	3	培养3	2:5050;5004:20	1601;1603;1604	1:2;1:1;1:1	拍电影	1001	
101000404	4	4	培养4	2:5050;5004:20	1601;1602;1604	1:2;1:1;1:1	拍电影	1001	
101000501	5	1	培养1	2:6350;5004:20	1601;1602;1603	1:2;1:1;1:1	拍电影	1001	
101000502	5	2	培养2	2:6350;5004:20	1602;1603;1604	1:1;1:1;1:1	拍电影	1001	
